title,year,length,budget,rating,Genre
Friday After Next,2002,85,20000000,4.9,Comedy
Friday Night Lights,2004,117,30000000,7,Drama
Friends Like These,2005,5,0,9,Short
From Dusk Till Dawn,1996,108,20000000,6.8,Comedy
From Hell,2001,122,35000000,6.8,Unknown
From Justin to Kelly,2003,90,12000000,1.7,Romance
Frostbite,2005,83,2400000,2.8,Comedy
"Fugitive, The",1993,130,44000000,7.7,Drama
Full Clip,2004,95,500000,4.1,Action
Full Frontal,2002,101,2000000,5,Romance
"Full Monty, The",1997,91,3500000,7.2,Comedy
"Future of Food, The",2004,88,750000,9.4,Documentary
G.I. Jane,1997,124,50000000,5.5,Drama
G.O.R.A.,2004,127,5000000,7.2,Comedy
"Gabbianella e il gatto, La",1998,75,6000000,6.8,Animation
Galaxy Quest,1999,102,45000000,7.2,Comedy
Galaxy of the Dinosaurs,1992,65,1250,1.4,Unknown
"Game of Their Lives, The",2005,101,20000000,6.4,Drama
"Game, The",1997,128,50000000,7.6,Unknown
"Gamers, The",2003,15,9000,7.1,Short
Gangs of New York,2002,166,97000000,7.3,Drama
Ganz und gar,2003,95,1400000,8.2,Unknown
Garage Days,2002,106,6000000,5.6,Drama
Garden State,2004,109,2500000,8.1,Romance
Garfield,2004,80,50000000,4.8,Comedy
"Gathering, The",2002,83,18000000,5.8,Unknown
Gattaca,1997,101,36000000,7.6,Drama
"Gatto nel cervello, Un",1990,93,100000,5.6,Unknown
Gay by Dawn,2004,9,8000,9,Short
"General's Daughter, The",1999,116,60000000,6.1,Drama
Genghis Khan,2004,120,50000000,7.9,Action
George and the Dragon,2004,93,32000000,5.5,Romance
George of the Jungle,1997,92,55000000,5.5,Comedy
Geronimo: An American Legend,1993,115,50000000,6.2,Drama
Gerry,2002,105,3500000,6,Drama
Get Carter,2000,104,40000000,4.7,Drama
Get Over It,2001,87,10000000,5.7,Romance
Get Shorty,1995,105,30250000,7,Drama
Get a Job,1998,93,750000,2.3,Comedy
Get on the Bus,1996,120,2400000,6.6,Drama
Gettysburg,1993,259,25000000,7.5,Drama
Ghost,1990,128,22000000,6.8,Romance
Ghost Ship,2002,91,35000000,5.3,Unknown
Ghost World,2000,111,7000000,7.8,Drama
"Ghost and the Darkness, The",1996,109,55000000,6.4,Drama
Ghostbite,1996,76,250000,3.8,Unknown
Ghosts of Mars,2001,98,28000000,4.6,Action
Ghosts of Mississippi,1996,130,36000000,6.4,Drama
Ghosts of the Abyss,2003,43,13000000,6.6,Documentary
"Ghouls, The",2003,81,9000,6.1,Unknown
"Giardini dell'Eden, I",1998,95,4000000,6.8,Drama
"Gift, The",2000,111,10000000,6.8,Drama
Gigli,2003,121,54000000,2.3,Romance
Ginger Snaps,2000,110,5000000,6.8,Comedy
Ginger Snaps: Unleashed,2004,94,3500000,6.6,Unknown
"Gingerbread Man, The",1998,114,25000000,5.7,Unknown
Girl 6,1996,108,12000000,5,Drama
Girl Play,2004,80,1000000,3.3,Comedy
Girl Wrestler,2003,56,230000,8,Documentary
"Girl, Interrupted",1999,127,24000000,7,Drama
"Give and Take, and Take",2003,80,18000,7.1,Unknown
Gladiator,2000,155,103000000,8,Drama
Glenn Tilbrook: One for the Road,2004,70,50000,7,Documentary
Glitter,2001,104,22000000,2.1,Romance
Global Heresy,2002,106,12000000,5.7,Drama
Gloria,1999,108,30000000,4.9,Drama
"Glove, The",2003,11,4500,7.2,Short
Gmar Gavi'a,1991,105,800000,7.5,Drama
Go,1999,103,6500000,7.4,Comedy
Go Fish,1994,84,15000,5.8,Romance
Goat on Fire and Smiling Fish,1999,90,40000,6.3,Romance
God's Army,2000,108,300000,6.4,Drama
God's Helper,2001,10,15000,7,Short
"Godfather: Part III, The",1990,169,54000000,7.3,Drama
Gods and Generals,2003,209,56000000,5.7,Drama
Gods and Monsters,1998,105,3500000,7.6,Drama
Godzilla,1998,133,125000000,4.4,Action
Going Greek,2001,90,198000,4.8,Comedy
Gojira ni-sen mireniamu,1999,99,1000000,5.6,Action
"Golden Bowl, The",2000,130,15000000,6,Drama
GoldenEye,1995,130,80000000,6.8,Action
Gone Fishin',1997,94,53000000,3.8,Comedy
Gone in Sixty Seconds,2000,117,90000000,5.7,Action
Gong fu,2004,99,20000000,7.9,Comedy
"Good Book, The",1997,81,9000,6.1,Action
Good Boy!,2003,88,18000000,4.7,Drama
Good Burger,1997,103,9000000,4,Comedy
"Good Girl, The",2002,93,5000000,6.9,Drama
"Good Man in Africa, A",1994,94,20000000,4.6,Comedy
Good Will Hunting,1997,126,10000000,7.8,Drama
Goodfellas,1990,145,25000000,8.6,Drama
Goodnight Irene,2005,14,15000,7.6,Short
Goodnite Charlie,2005,119,100000,9.8,Action
Gory Gory Hallelujah,2003,96,100000,6.4,Comedy
Gosford Park,2001,137,15000000,7.3,Drama
"Gothic Romance, A",2004,32,5000,8.2,Short
Gothika,2003,98,40000000,5.8,Unknown
Grace of My Heart,1996,116,5000000,6.5,Drama
"Granny, The",1995,85,1000000,4.2,Comedy
"Grave, The",1996,90,4000000,5.6,Comedy
Gravesend,1997,85,65000,5,Drama
Graveyard Shift,1990,89,10500000,3.8,Unknown
Gray's Anatomy,1996,80,350000,7,Drama
Grayson,2004,6,17791,8.5,Short
"Great Gabble, The",2003,11,8000,9.3,Short
Great Lengths,2004,20,25000,7,Short
Green Arrow Fan Film,2004,3,4000,6.2,Short
Green Eyes for Anastice,2004,93,10000,8.5,Unknown
"Green Mile, The",1999,188,60000000,8.1,Drama
"Greenskeeper, The",2002,90,80000,4.7,Comedy
Gremlins 2: The New Batch,1990,106,50000000,5.9,Comedy
Gretchen & the Night Danger,2004,26,4000,7.5,Short
Grey Owl,1999,118,30000000,5.7,Drama
"Grey Zone, The",2001,108,5000000,7.3,Drama
Grim,1995,86,1000000,1.6,Unknown
Grimm,2003,110,3700000,6.2,Drama
Groom Lake,2002,92,750000,3.7,Unknown
Groove,2000,86,500000,6,Drama
Grosse Pointe Blank,1997,107,15000000,7.4,Romance
Growin' a Beard,2003,29,10000,8.7,Short
"Grudge, The",2004,92,10000000,5.9,Unknown
Grumpier Old Men,1995,101,25000000,6.2,Romance
Guerra de Canudos,1997,170,6000000,7.5,Drama
"Guest of Honor, The",2001,15,30000,6.8,Short
Guinevere,1999,104,2600000,6.3,Romance
Gun Shy,2000,101,10000000,5.4,Romance
Guncrazy,1992,97,800000,5.5,Drama
"Guru, The",2002,94,11000000,5.9,Romance
Gutter Balls,2003,29,4000,8.3,Short
"Guy Thing, A",2003,101,20000000,5.3,Romance
Guyver: Dark Hero,1994,127,900000,4.9,Action
Habit,1997,112,200000,5.7,Unknown
Hacks,2002,93,200000,8.1,Unknown
Hairshirt,1998,89,65000,4.2,Romance
Half Past Dead,2002,98,30000000,3.9,Action
Halloween H20: 20 Years Later,1998,85,17000000,5.3,Unknown
Halloween: Resurrection,2002,89,15000000,4.3,Unknown
Halloween: The Curse of Michael Myers,1995,88,5000000,4.2,Unknown
Hamlet,1996,242,18000000,7.7,Romance
"Hand Behind the Mouse: The Ub Iwerks Story, The",1999,90,600000,6.4,Documentary
Hangin' with the Homeboys,1991,88,1900000,6.6,Drama
Hanging Up,2000,94,40000000,4.4,Drama
Hangman's Curse,2003,106,2000000,4.9,Unknown
Hank Williams First Nation,2005,92,300000,7.4,Drama
Hannibal,2001,133,87000000,6.2,Unknown
Happiness,1998,134,3000000,7.7,Drama
Happy Gilmore,1996,92,10000000,6.8,Comedy
"Happy, Texas",1999,98,1700000,6.4,Comedy
Hard Ball,2001,109,21000000,6,Drama
Hard Rain,1998,97,70000000,5.5,Drama
Hard Target,1993,73,15000000,5.4,Action
Hardware,1990,93,1500000,5.2,Action
Harold & Kumar Go to White Castle,2004,90,9000000,7.1,Comedy
"Harpist, The",1997,93,3000000,4.8,Unknown
Harriet the Spy,1996,100,13000000,5.8,Drama
Harrison Macauley Is Going to Kill Me,2003,68,50000,6,Drama
Harry Potter and the Chamber of Secrets,2002,152,100000000,7.3,Unknown
Harry Potter and the Prisoner of Azkaban,2004,141,130000000,7.8,Unknown
Harry Potter and the Sorcerer's Stone,2001,152,130000000,7.2,Unknown
Hart's War,2002,125,70000000,6.2,Drama
Harvard Man,2001,99,5500000,4.9,Romance
Harvest of Fear,2004,95,100000,3.6,Unknown
Hatred of a Minute,2002,83,300000,5.2,Romance
"Haunted Mansion, The",2003,87,90000000,5,Comedy
Haunting Fear,1991,88,115000,3.7,Drama
"Haunting, The",1999,112,80000000,4.6,Unknown
Hav Plenty,1997,84,650000,5.3,Comedy
He Got Game,1998,137,25000000,6.6,Drama
Head Over Heels,2001,86,14000000,4.9,Romance
Heads or Tails,2005,100,17000,7.8,Drama
Heart of America,2003,87,3000000,6.1,Drama
"Heart of Me, The",2002,96,7000000,6.2,Romance
Heartbreakers,2001,110,40000000,6.2,Romance
Hearts in Atlantis,2001,101,31000000,6.7,Drama
Heat,1995,188,60000000,7.9,Drama
Heaven,2002,96,11000000,7.3,Drama
Heaven & Earth,1993,140,33000000,6.4,Drama
Heaven's Prisoners,1996,132,25000000,5.4,Unknown
Heavenly Creatures,1994,108,5000000,7.7,Romance
Heavy Metal 2000,2000,88,15000000,5.1,Animation
Hedwig and the Angry Inch,2001,93,6000000,7.7,Romance
Held Up,1999,89,8000000,4.6,Comedy
Held for Ransom,2000,91,5000000,4.5,Unknown
"Helix... Loaded, The",2005,97,1000000,2.3,Comedy
Hell's Kitchen,1998,95,6000000,4.5,Drama
Hellboy,2004,132,66000000,6.7,Action
Hellraiser: Bloodline,1996,86,4000000,4.2,Unknown
Hempsters: Plant the Seed,2003,90,250000,6.4,Documentary
Her Knight,2003,29,16878,8,Short
Her Urge,2000,15,20000,5.5,Short
Hercules,1997,92,70000000,6.6,Comedy
Here on Earth,2000,93,15000000,4.8,Romance
Hero,1992,117,42000000,6.2,Drama
Hey Arnold! The Movie,2002,76,10000000,4.8,Comedy
Hidalgo,2004,136,78000000,6.6,Drama
Hidden Agenda,2001,98,5000000,4.2,Action
Hidden Assassin,1995,89,11000000,4.4,Drama
Hide and Creep,2004,85,20000,3.7,Comedy
Hide and Seek,2005,101,30000000,5.2,Drama
Hideaway,1995,106,15000000,5,Unknown
Hideous Kinky,1998,98,12000000,6.1,Drama
High Crimes,2002,115,42000000,6.1,Drama
High Fidelity,2000,113,20000000,7.6,Romance
High Strung,1991,93,300000,6.2,Comedy
Highlander II: The Quickening,1991,92,30000000,3.4,Action
Highlander III: The Sorcerer,1994,102,26000000,3.7,Action
Highlander: Endgame,2000,101,15000000,4.4,Action
Highway to Hell,1992,94,9000000,5.3,Comedy
"Hijo genial, Un",2003,90,1000000,1.6,Comedy
Hikikomori: Tokyo Plastic,2004,75,1150000,7,Unknown
"Hillz, The",2004,91,100000,3.1,Drama
HipHopBattle.com: Hip Hop 4 Life,2001,98,12000,5.7,Romance
His/Herstory,2003,20,33000,7.6,Short
Hit and Runway,1999,108,1200000,6.7,Comedy
Hitch,2005,118,70000000,6.8,Romance
Hitchhiker,2003,16,0,5.3,Short
"Hitchhiker's Guide to the Galaxy, The",2005,110,50000000,6.9,Comedy
"Hitman, The",2002,6,1000,6.6,Short
Hocus Pocus,1993,96,28000000,5.3,Comedy
Holes,2003,117,30000000,7.2,Drama
Hollow Man,2000,112,95000000,5.3,Unknown
Hollywood Ending,2002,112,16000000,6.3,Drama
Hollywood Homicide,2003,116,75000000,5.2,Comedy
Hollywood North,2003,89,7000000,5.7,Comedy
"Hollywood Sign, The",2001,90,12000000,5.3,Comedy
Holy Man,1998,114,60000000,4.9,Drama
Home Alone,1990,103,15000000,6.4,Comedy
Home Fries,1998,91,15000000,4.9,Romance
"Home at the End of the World, A",2004,96,6500000,6.5,Romance
"Home of Our Own, A",1993,104,12000000,6.5,Drama
Home on the Range,2004,76,110000000,5.4,Comedy
Homeless in America,2004,30,500000,7.2,Short
Hometown Legend,2002,108,2000000,4.6,Drama
Honey,2003,94,17000000,3.9,Romance
Hong faan kui,1996,91,7500000,6.5,Comedy
"Honorable, The",2002,88,50000,6.8,Unknown
Hook,1991,144,70000000,5.8,Unknown
Hoop Dreams,1994,170,700000,7.9,Documentary
Hope Floats,1998,114,30000000,5.3,Romance
Hope and Play,2004,101,10500,6.4,Comedy
Hopscotch,2004,7,1000,9.6,Short
"Horse Whisperer, The",1998,170,60000000,6.4,Romance
Hostage,2005,113,52000000,6.6,Drama
Hot Java,2004,12,15000,9.1,Short
Hot Wax Zombies On Wheels,1999,88,160000,2.4,Comedy
"Hours, The",2002,114,25000000,7.6,Drama
House of 1000 Corpses,2003,88,7000000,5.1,Unknown
"House of Mirth, The",2000,140,10000000,6.9,Romance
House of Sand and Fog,2003,126,16000000,7.8,Drama
House of Wax,2005,105,30000000,4.6,Unknown
"House of Yes, The",1997,85,1500000,6.5,Drama
House of the Dead,2003,90,7000000,2.3,Action
"House of the Spirits, The",1993,146,40000000,6.3,Romance
House on Haunted Hill,1999,99,19000000,5.1,Unknown
"House on Turk Street, The",2002,103,12000000,5.5,Drama
How Harry Became a Tree,2001,99,6000000,6.7,Drama
How High,2001,95,12000000,4.9,Comedy
How I Saved the World,2001,18,40000,7.2,Short
How Stella Got Her Groove Back,1998,124,20000000,5,Romance
How the Grinch Stole Christmas,2000,104,123000000,5.7,Drama
How to Deal,2003,102,16000000,5.5,Romance
How to Kill Your Neighbor's Dog,2000,107,7300000,7,Drama
How to Live with a Vegan Without Killing Them,2004,84,330000,5.5,Comedy
How to Lose a Guy in 10 Days,2003,116,50000000,6.1,Romance
Hsi yen,1993,106,1000000,7.5,Romance
Hudson Hawk,1991,103,65000000,5.1,Comedy
"Hudsucker Proxy, The",1994,111,25000000,7.4,Romance
Hukkle,2002,75,100000,7.1,Drama
Hulk,2003,138,120000000,6.1,Drama
Hummingbird,2004,48,50000,9.2,Documentary
"Hunchback of Notre Dame, The",1996,91,70000000,6.5,Drama
"Hunt for Red October, The",1990,134,30000000,7.6,Action
Hunting Camp,2005,38,4000,8.1,Short
Hunting for Herschell,2003,90,30000,1.8,Drama
Hurricane,1997,91,500000,6.6,Drama
"Hurricane, The",1999,145,38000000,7.3,Drama
Husbands and Wives,1992,108,20000000,7.4,Drama
Husk,2005,27,7500,3.3,Short
Hustlas,2002,90,1000000,5.2,Unknown
I Am Josh Polonski's Brother,2001,87,80000,5,Unknown
I Am My Resume,2003,15,30000,9.8,Short
I Am Sam,2001,132,22000000,7.2,Drama
I Capture the Castle,2003,111,8000000,7,Romance
I Come in Peace,1990,91,7000000,4.8,Action
I Died,2004,108,15000,3,Unknown
I Dreamed of Africa,2000,114,34000000,5.2,Drama
I Got the Hook Up,1998,93,3500000,3.2,Comedy
I Heart Huckabees,2004,106,22000000,7,Comedy
"I Inside, The",2003,90,8800000,6,Unknown
I Know What You Did Last Summer,1997,99,17000000,5.3,Unknown
I Love You Came Too Late,2004,85,125000,8,Romance
I Married a Strange Person!,1997,74,250000,6.2,Drama
I Never,2003,22,40000,3.4,Short
I Spy,2002,97,70000000,5.3,Comedy
I Still Know What You Did Last Summer,1998,100,24000000,4,Unknown
I'll Bury You Tomorrow,2002,119,980000,6.7,Unknown
I'll Do Anything,1994,115,44000000,5.5,Drama
I'll Remember April,1999,90,1800000,6.2,Drama
I'm with Lucy,2002,90,15000000,6.2,Romance
"I, Robot",2004,115,105000000,7,Action
Ice Age,2002,81,60000000,7.3,Comedy
Ice Cream Man,1995,84,2000000,4.2,Comedy
"Ice Storm, The",1997,112,18000000,7.5,Drama
"Ideal Husband, An",1999,97,14000000,7,Romance
Identity,2003,90,30000000,7.3,Drama
Idle Hands,1999,92,20000000,5.4,Comedy
Igby Goes Down,2002,99,9000000,7.1,Drama
Igry motylkov,2004,105,1200000,7.3,Drama
Imaginary Girls,2004,30,8000,7.6,Short
Imaginary Heroes,2004,112,10000000,7,Drama
"Importance of Being Earnest, The",2002,97,15000000,6.8,Romance
Impostor,2002,102,40000000,5.8,Drama
In & Out,1997,92,35000000,6.2,Comedy
"In Crowd, The",2000,104,15000000,4,Drama
In Dreams,1999,98,30000000,5.3,Unknown
In Plain Sight,2004,86,50000,7.2,Comedy
In Their Absence,2003,8,3500,9.6,Short
In This World,2002,88,1900000,7.8,Drama
In Too Deep,1999,95,7000000,5.8,Drama
In the Bedroom,2001,130,1700000,7.4,Drama
In the Company of Men,1997,97,25000,7.3,Comedy
In the Cut,2003,119,12000000,5.1,Unknown
In the Land of Milk and Money,2004,89,150000,5.6,Comedy
In the Line of Fire,1993,138,40000000,7.3,Drama
In the Mouth of Madness,1994,95,14000000,6.5,Unknown
In the Shadows,2001,105,10000000,4.8,Drama
In the Woods,1999,90,252000,1.9,Unknown
Inamorata,2004,112,5000,7.8,Short
Incident at Loch Ness,2004,94,1400000,6.4,Comedy
"Incredibles, The",2004,121,92000000,8.3,Comedy
"Incredibly True Adventure of Two Girls in Love, The",1995,94,250000,6.5,Romance
Indecent Proposal,1993,117,38000000,5.3,Romance
Independence Day,1996,153,75000000,6.1,Action
"Indian in the Cupboard, The",1995,96,45000000,5.8,Unknown
"Innocence Project, The",2004,26,1000,9.8,Short
Innocent,2001,16,25000,7,Short
Innsmouth Legacy,2004,10,1000,6.4,Short
Inside,2002,8,5000,7.4,Short
"Insider, The",1999,157,68000000,8,Drama
Insight of Evil,2003,80,120000,5.1,Unknown
Insomnia,2001,6,0,7.1,Short
Insomnia,2002,118,46000000,7.3,Drama
"Insomniac's Nightmare, An",2003,31,20000,7,Short
Inspector Gadget,1999,78,75000000,4,Comedy
Instinct,1999,126,55000000,6.1,Drama
Insutooru,2004,94,2000000,6.1,Drama
"Intended, The",2002,110,3800000,6.8,Drama
Intermission,2003,102,5000000,6.4,Drama
Intermission,2004,14,30000,7.6,Short
"Interpreter, The",2005,128,80000000,6.6,Drama
"Interruption, The",2004,25,70000,5.5,Short
Interstate 60,2002,116,7000000,7.7,Drama
Interview with the Assassin,2002,88,750000,6.7,Drama
Interview with the Vampire: The Vampire Chronicles,1994,123,50000000,7.2,Drama
Intimations,2004,20,39000,8,Short
Into the Sun,2005,97,16000000,4,Action
Intolerable Cruelty,2003,100,60000000,6.6,Romance
Invasion of the Space Preachers,1990,100,100000,4.7,Unknown
"Invasions barbares, Les",2003,112,5000000,7.9,Drama
"Invincible Kung Fu Guy, The",1994,23,3000,8.3,Short
"Iron Giant, The",1999,86,48000000,7.9,Animation
"Irrefutable Truth About Demons, The",2000,90,500000,5.3,Unknown
Is It True What They Say About Ann?,2004,40,5000,7.3,Short
Ish HaHashmal,2003,90,900000,4.5,Drama
"Island of Dr. Moreau, The",1996,99,40000000,4,Unknown
"Island, The",2000,4,30000,9.8,Short
Isn't She Great,2000,95,36000000,4.8,Romance
Issues 101,2002,90,75000,3.6,Romance
It's Hard,2000,13,15000,4.8,Short
"Italian Job, The",2003,111,60000000,6.9,Action
"J-K Conspiracy, The",2004,89,44000,9.2,Comedy
JFK,1991,206,40000000,7.8,Drama
Jack,1996,113,45000000,5.2,Drama
Jack Be Nimble,1993,92,750000,5.8,Unknown
Jack Frost,1998,101,50000000,4.5,Drama
Jack of Diamonds,2001,84,1500000,1.7,Action
"Jackal, The",1997,124,60000000,5.7,Unknown
Jackass: The Movie,2002,87,5000000,6.1,Documentary
"Jacket, The",2005,102,19000000,6.4,Unknown
Jackie Brown,1997,154,12000000,7.5,Drama
Jackpot,2001,97,400000,5.2,Drama
Jacob's Ladder,1990,115,25000000,7.3,Drama
Jade,1995,107,50000000,4.8,Drama
Jake's Booty Call,2003,77,50000,7,Comedy
Jakob the Liar,1999,120,15000000,5.9,Drama
James and the Giant Peach,1996,79,38000000,6.6,Animation
Jane Austen's Mafia!,1998,83,10000000,4.8,Drama
Japanese Story,2003,105,5740000,7,Drama
Jason Goes to Hell: The Final Friday,1993,91,2500000,3.9,Action
Jason X,2001,85,14000000,4.6,Unknown
Jason's Lyric,1994,119,7000000,6,Drama
Jay and Silent Bob Strike Back,2001,104,22000000,6.9,Comedy
Jeepers Creepers,2001,90,10000000,5.4,Drama
Jeepers Creepers II,2003,104,25000000,5.2,Unknown
Jefferson in Paris,1995,139,14000000,5.6,Drama
Jelly Pilgrim,2004,4,60000,2,Short
Jennifer's Shadow,2004,96,1000000,5.1,Unknown
Jerry Maguire,1996,139,50000000,7.3,Romance
Jerry and Tom,1998,106,5000000,6.7,Drama
Jersey Girl,2004,102,35000000,6.4,Drama
Jesus' Son,1999,107,2500000,6.9,Drama
Jimmy Hollywood,1994,112,20000000,5.3,Drama
Jimmy Neutron: Boy Genius,2001,84,25000000,6,Comedy
"Jimmy Show, The",2001,99,1000000,4.6,Drama
Jing Gai'er,2004,108,700000,8.9,Comedy
Jing cha gu shi III: Chao ji jing cha,1992,95,900000,6.7,Comedy
Jingle All the Way,1996,88,60000000,4.7,Comedy
Jisatsu saakuru,2002,99,250000,6.8,Unknown
Jizda,1994,90,30000,7.5,Romance
Joe Dirt,2001,91,16000000,5.1,Romance
Joe Somebody,2001,98,38000000,5.5,Romance
Joe's Apartment,1996,80,13000000,5,Comedy
John Boorman Stole My Screenplay,2004,3,2000,2.8,Short
John Johnson's Shadowhunters,2004,92,2000,6,Unknown
John Q,2002,116,36000000,6.4,Drama
Johnny English,2003,87,35000000,5.6,Comedy
Johnny Mnemonic,1995,96,26000000,4.7,Action
Johnny Suede,1991,97,500000,5.8,Romance
Johnson Family Vacation,2004,97,12000000,3.6,Comedy
Jonah: A VeggieTales Movie,2002,82,15000000,6.2,Comedy
Josh Jarman,2004,96,1300000,5.4,Comedy
Josh and S.A.M.,1993,89,18000000,5.2,Drama
Josie and the Pussycats,2001,98,22000000,5.2,Comedy
"Journey of Jared Price, The",2000,96,30000,5.8,Drama
Joy Ride,2001,97,23000000,6.6,Unknown
Judge Dredd,1995,96,90000000,4.6,Action
Judgment,2001,105,11000000,4.6,Drama
Jui kuen II,1994,99,2000000,7.5,Comedy
Julie Walking Home,2002,118,5000000,7.3,Romance
Jumanji,1995,104,65000000,6,Comedy
Junebug and Hurricane,2004,9,26000,6.5,Short
Jung (War) in the Land of the Mujaheddin,2001,114,275000,8,Documentary
"Jungle Book 2, The",2003,72,20000000,5.2,Animation
"Jungle Book, The",1994,111,27000000,5.9,Romance
Jungle Fever,1991,132,14000000,6.4,Romance
Jurassic Park,1993,127,63000000,7.4,Action
Jurassic Park III,2001,92,93000000,5.6,Action
"Jurk, De",1996,95,2650000,6.8,Drama
"Juror, The",1996,118,44000000,5.3,Drama
Just Add Pepper,2002,90,75000,5.1,Romance
Just Looking,1999,97,3000000,6.2,Comedy
Just Visiting,2001,93,40000000,5.6,Comedy
Just the Ticket,1999,115,12000000,5.5,Romance
Juwanna Mann,2002,91,15600000,3.9,Comedy
K-19: The Widowmaker,2002,140,100000000,6.6,Drama
K-PAX,2001,120,48000000,7.2,Drama
Kafka,1991,92,11000000,6.9,Drama
Kalifornia,1993,118,9000000,6.6,Unknown
Kama Sutra: A Tale of Love,1996,114,3000000,5.5,Romance
Kangaroo Jack,2003,89,60000000,3.9,Comedy
Kansas City,1996,116,19000000,5.8,Drama
Karakter,1997,122,4500000,7.7,Drama
Kate & Leopold,2001,123,48000000,6.3,Romance
"Kaze, Ghost Warrior",2004,23,5000,7.4,Short
Keane,2004,100,850000,6.3,Drama
Keeper of the Past,2005,18,30000,9.9,Short
"Keeper, The",2004,95,4000000,4.5,Drama
Keeping the Faith,2000,128,30000000,6.8,Romance
Kejar Amerika,2004,86,100000,6.7,Unknown
Key West: City of Colors,2004,64,90000,8.4,Documentary
Khwaab,2004,86,75000,8,Drama
Kicked in the Head,1997,87,4000000,4.2,Drama
"Kid, The",2000,104,65000000,6.1,Drama
Kids,1995,91,1500000,6.6,Drama
Kill Bill: Vol. 1,2003,111,55000000,8.3,Drama
Kill Bill: Vol. 2,2004,136,30000000,8.3,Drama
Kill the Scream Queen,2004,74,5000,1.3,Unknown
Killer Bean 2: The Party,2000,7,2800,7,Short
"Killer Eye, The",1999,72,400000,2.2,Unknown
Killers,1996,90,100000,6.3,Unknown
Killers,1997,86,100000,2.8,Action
"Killing Box, The",1993,80,1200000,4,Unknown
Killing Kevin,2004,22,20000,8,Short
Killing Me Softly,2002,104,25000000,5.4,Drama
Killing Zoe,1994,99,1500000,6.2,Unknown
Kimberly,1999,106,2000000,5.3,Romance
King Arthur,2004,140,90000000,6,Drama
King of the Hill,1993,109,8000000,7.4,Drama
Kingdom of Heaven,2005,145,130000000,7,Drama
Kingdom of the Vampire,1991,70,2500,6.6,Unknown
Kingpin,1996,117,25000000,6.6,Comedy
Kinsey,2004,118,11000000,7.6,Drama
Kiss & Tell,1996,96,1000000,5.7,Drama
Kiss of the Dragon,2001,98,25000000,6.2,Drama
"Kiss on the Nose, A",2004,13,25000,9.5,Short
Kiss or Kill,1997,96,2000000,6.2,Unknown
Kiss the Girls,1997,111,27000000,6.4,Drama
Kiss the Sky,1999,107,6000000,5.6,Romance
"Kiss, The",2004,25,6000,5.8,Short
Kissing Jessica Stein,2001,97,1000000,7,Romance
"Knight's Tale, A",2001,132,41000000,6.5,Comedy
Knock Off,1998,91,35000000,3.8,Action
"Kohav Ha'Kahol, Ha-",1995,86,100000,7.2,Unknown
Kontroll,2003,107,500000,7.8,Unknown
Korea,1995,87,500000,6.2,Unknown
Krokus: As Long as We Live,2004,82,200000,7.3,Documentary
Kruimeltje,1999,119,5000000,6.7,Drama
Kundun,1997,128,28000000,7.1,Drama
Kung Pow: Enter the Fist,2002,82,10000000,5.1,Comedy
L.A. Confidential,1997,138,35000000,8.4,Drama
L.A. Knights,2003,20,15000,2.5,Short
L.A. Twister,2004,92,450000,6.4,Comedy
LD 50 Lethal Dose,2003,97,8000000,5,Unknown
Lady of the Lake,1998,82,60000,3.9,Unknown
"Ladykillers, The",2004,104,35000000,6.4,Comedy
Lake Placid,1999,82,27000000,5.2,Comedy
Lana's Rain,2002,107,215000,7.1,Drama
"Land of College Prophets, The",2005,83,80000,6.5,Action
Lara Croft Tomb Raider: The Cradle of Life,2003,117,90000000,5.2,Action
Lara Croft: Tomb Raider,2001,100,80000000,5.2,Action
Lashou shentan,1992,131,4500000,7.9,Drama
Last Action Hero,1993,130,60000000,5.4,Comedy
"Last Big Attraction, The",1999,90,60000,2.6,Romance
Last Breeze of Summer,1991,30,60000,7.6,Short
"Last Broadcast, The",1998,86,0,5.7,Unknown
"Last Castle, The",2001,131,60000000,6.4,Drama
Last Chair,2003,30,25000,9,Short
"Last Full Measure, The",2004,18,50000,7.5,Short
"Last Horror Movie, The",2003,80,780000,5.2,Unknown
Last Man Standing,1996,101,67000000,5.7,Drama
Last Orders,2001,109,12000000,7.1,Drama
Last Party 2000,2001,90,1000000,6.3,Documentary
"Last Patrol, The",2000,95,8200000,2.9,Drama
"Last Resort, The",1997,86,5000000,5,Action
"Last Samurai, The",2003,154,100000000,7.9,Drama
"Last Seduction, The",1994,110,2500000,7.2,Drama
"Last Soviet Movie, The",2003,80,3500000,7.6,Comedy
"Last Time I Committed Suicide, The",1997,92,4000000,5.3,Drama
Last Word,2002,16,8500,8,Short
"Last of the Mohicans, The",1992,117,40000000,7.5,Romance
Late Bloomer,2004,13,12000,9,Short
Late Veracity,2002,20,50000,8,Short
Latter Days,2003,107,850000,7.3,Romance
Laughing Dead,1998,85,200000,7.6,Unknown
Lawn Dogs,1997,101,8000000,7.5,Drama
"Lawnmower Man, The",1992,140,10000000,5,Action
Laws of Attraction,2004,90,28000000,5.7,Romance
Laws of Gravity,1992,100,38000,6.5,Drama
"League of Extraordinary Gentlemen, The",2003,110,78000000,5.4,Action
"League of Their Own, A",1992,128,40000000,6.9,Drama
"Learning Curve, The",2001,113,1000000,5.2,Drama
Leather Jacket Love Story,1997,85,67000,6.1,Romance
Leather and Iron,2002,90,650000,5.5,Drama
